Player,Pos,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,FG%,3P%,2P%,eFG%,FT%
Shaun Livingston,PG,0.19,2.4,9.4,6.2,13.5,1.4,1.2,15.1,12.9,0.547,0.333,0.55,0.549,0.7
Shawn Long,C,0.321,19.3,20.8,20,10.7,1.9,3.1,9.5,25.4,0.56,0.368,0.6,0.592,0.543
Kevon Looney,C,0.318,11.5,18.5,15.2,8.5,1.5,3,12.2,13.4,0.523,0.222,0.551,0.533,0.618
Brook Lopez,C,0.311,5.8,13.3,9.6,14.8,0.8,4.2,12.1,29.2,0.474,0.346,0.536,0.531,0.81
Robin Lopez,C,0.134,11.4,13.2,12.3,5.6,0.4,4.1,9.9,17.5,0.493,0,0.494,0.493,0.721
Kevin Love,PF,0.34,8.9,29.3,19.5,9.8,1.4,0.9,10.9,26.4,0.427,0.373,0.471,0.51,0.871
Kyle Lowry,PG,0.398,2.4,12.1,7.3,29.9,2,0.7,13.8,24.9,0.464,0.412,0.518,0.569,0.819
John Lucas,PG,0,0,0,0,12.5,9.2,0,0,16.1,0.25,0,0.333,0.25,
Timothe Luwawu-Cabarrot,SF,0.341,2.3,11.5,6.9,9.6,1.3,0.7,15,17.8,0.402,0.311,0.475,0.471,0.854
Trey Lyles,PF,0.18,4.9,18.1,11.7,9.6,1.2,1.4,11.9,21.7,0.362,0.319,0.4,0.436,0.722
Shelvin Mack,PG,0.202,2,10.1,6.1,20.4,1.8,0.2,17.8,19.6,0.446,0.308,0.51,0.495,0.688
Ian Mahinmi,C,0.676,9.6,20.8,15.2,4.7,2.9,3.6,19.1,14,0.586,,0.586,0.586,0.573
Thon Maker,C,0.271,8.4,15.2,11.8,6.2,0.9,4.1,7.7,17.8,0.459,0.378,0.514,0.536,0.653
Boban Marjanovic,C,0.439,16.5,32.5,24.2,5.3,1,3.4,6,25.3,0.545,,0.545,0.545,0.81
Jarell Martin,PF,0.331,8.4,25.3,16.6,2.2,1.6,1.5,13.9,16.4,0.384,0.36,0.389,0.414,0.8
Wesley Matthews,SG,0.211,0.8,11.8,6,13.6,1.6,0.6,9.9,19.4,0.393,0.363,0.432,0.496,0.816
Luc Mbah,SF,0.23,3,7.7,5.4,3.1,2.3,1.6,10.1,11.6,0.505,0.391,0.552,0.562,0.678
